WPM,Accuracy (%),Words Destroyed,Max Combo,Score,Typing Errors,Wave
35.66,85.0,14,31,1281,15,2
29.93,89.47,2,9,319,2,1
30.59,93.88,8,29,997,3,1
41.8,94.48,35,57,2774,10,4
33.3,90.32,15,43,1615,9,2
31.42,84.27,13,27,1009,14,3
32.1,95.12,7,33,1161,2,1
33.58,55.95,17,27,1110,74,2
39.71,92.03,23,45,2056,11,4
11.9,53.85,1,7,105,6,1
30.71,88.37,7,30,1021,5,1
42.68,93.68,34,36,1919,12,4
17.13,54.17,2,7,157,11,1
38.38,90.24,26,42,1910,16,3
36.63,84.86,28,38,1708,28,3
13.74,50.0,1,3,64,6,1
38.97,82.91,17,34,1533,20,2
23.87,65.45,6,15,441,19,1
32.97,84.95,14,16,700,14,2
14.57,83.33,1,5,97,2,1
42.77,89.63,20,92,4177,14,3
0,100,0,0,0,0,1
0,100,0,0,0,0,1
40.28,92.27,32,50,2374,15,4
38.44,92.31,33,55,2482,15,4
36.26,86.83,33,27,1345,27,4
43.08,96.43,35,94,4442,7,4
39.62,92.02,35,85,3757,17,4
37.19,85.78,34,37,1753,31,4
0,100,0,0,0,0,1
34.11,89.0,32,32,1445,22,4
41.82,90.86,32,57,2745,18,4
1.03,100.0,0,1,2,0,1
43.38,94.97,36,55,2789,10,4
